time, height, speed, acceleration, user_data
0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.010000, 0.000000, 0.000000, 9.810000, 0.000000
0.020000, 0.000000, 0.000000, 9.810000, 0.000000
0.030000, 0.000000, 0.000000, 9.810000, 0.000000
0.040000, 0.000000, 0.000000, 9.810000, 0.000000
0.050000, 0.000000, 0.000000, 9.810000, 0.000000
0.060000, 0.000000, 0.000000, 9.810000, 0.000000
0.070000, 0.000000, 0.000000, 9.810000, 0.000000
0.080000, 0.000000, 0.000000, 9.810000, 0.000000
0.090000, 0.000000, 0.000000, 9.810000, 0.000000
0.100000, 0.000000, 0.000000, 9.810000, 0.000000
0.110000, 0.000000, 0.000000, 9.810000, 0.000000
0.120000, 0.000000, 0.000000, 9.810000, 0.000000
0.130000, 0.000000, 0.000000, 9.810000, 0.000000
0.140000, 0.000000, 0.000000, 9.810000, 0.000000
0.150000, 0.000000, 0.000000, 9.810000, 0.000000
0.160000, 0.000000, 0.000000, 9.810000, 0.000000
0.170000, 0.000000, 0.000000, 9.810000, 0.000000
0.180000, 0.000000, 0.000000, 9.810000, 0.000000
0.190000, 0.000000, 0.000000, 9.810000, 0.000000
0.200000, 0.000000, 0.000000, 9.810000, 0.000000
0.210000, 0.000000, 0.000000, 9.810000, 0.000000
0.220000, 0.000000, 0.000000, 9.810000, 0.000000
0.230000, 0.000000, 0.000000, 9.810000, 0.000000
0.240000, 0.000000, 0.000000, 9.810000, 0.000000
0.250000, 0.000000, 0.000000, 9.810000, 0.000000
0.260000, 0.000000, 0.000000, 9.810000, 0.000000
0.270000, 0.000000, 0.000000, 9.810000, 0.000000
0.280000, 0.000000, 0.000000, 9.810000, 0.000000
0.290000, 0.000000, 0.000000, 9.810000, 0.000000
0.300000, 0.000000, 0.000000, 9.810000, 0.000000
0.310000, 0.000000, 0.000000, 9.810000, 0.000000
0.320000, 0.000000, 0.000000, 9.810000, 0.000000
0.330000, 0.000000, 0.000000, 9.810000, 0.000000
0.340000, 0.000000, 0.000000, 9.810000, 0.000000
0.350000, 0.000000, 0.000000, 9.810000, 0.000000
0.360000, 0.000000, 0.000000, 9.810000, 0.000000
0.370000, 0.000000, 0.000000, 9.810000, 0.000000
0.380000, 0.000000, 0.000000, 9.810000, 0.000000
0.390000, 0.000000, 0.000000, 9.810000, 0.000000
0.400000, 0.000000, 0.000000, 9.810000, 0.000000
0.410000, 0.000000, 0.000000, 9.810000, 0.000000
0.420000, 0.000000, 0.000000, 9.810000, 0.000000
0.430000, 0.000000, 0.000000, 9.810000, 0.000000
0.440000, 0.000000, 0.000000, 9.810000, 0.000000
0.450000, 0.000000, 0.000000, 9.810000, 0.000000
0.460000, 0.000000, 0.000000, 9.810000, 0.000000
0.470000, 0.000000, 0.000000, 9.810000, 0.000000
0.480000, 0.000000, 0.000000, 9.810000, 0.000000
0.490000, 0.000000, 0.000000, 9.810000, 0.000000
0.500000, 0.000000, 0.000000, 9.810000, 0.000000
0.510000, 0.000000, 0.000000, 13.000000, 0.009091
0.520000, 0.000159, 0.031900, 13.000000, 0.018182
0.530000, 0.000638, 0.063800, 13.000000, 0.027273
0.540000, 0.001435, 0.095700, 13.000000, 0.036363
0.550000, 0.002552, 0.127600, 13.000000, 0.045454
0.560000, 0.003987, 0.159500, 13.000000, 0.054545
0.570000, 0.005742, 0.191400, 13.000000, 0.063636
0.580000, 0.007815, 0.223300, 13.000000, 0.072727
0.590000, 0.010208, 0.255200, 13.000000, 0.081818
0.600000, 0.012919, 0.287100, 13.000000, 0.090909
0.610000, 0.015950, 0.319000, 13.000000, 0.100000
0.620000, 0.019299, 0.350900, 13.000000, 0.109091
0.630000, 0.022968, 0.382800, 13.000000, 0.118182
0.640000, 0.026955, 0.414700, 13.000000, 0.127272
0.650000, 0.031262, 0.446600, 13.000000, 0.136363
0.660000, 0.035887, 0.478500, 13.000000, 0.145454
0.670000, 0.040832, 0.510400, 13.000000, 0.154545
